pico_time_s,node,esp_time_s,dist_cm
8478.102000,B,89.787290,13.857
8478.111000,B,89.878296,17.459
8478.121000,B,89.967256,17.390
8478.131000,A,151.480660,6.603
8478.142000,A,151.528410,6.586
8478.153000,A,151.708700,5.128
8478.176000,A,151.754340,5.128
8478.235000,A,151.800040,6.877
8478.245000,B,90.100990,17.407
8478.267000,A,151.845780,6.603
8478.279000,B,90.146360,16.979
8478.313000,A,151.891570,5.711
8478.325000,B,90.191470,14.818
8478.388000,A,151.937240,5.728
8478.410000,A,151.983000,4.836
8478.418000,B,90.281168,19.380
8478.472000,A,152.029340,5.711
8478.525000,B,90.326460,7.563
8478.573000,A,152.075010,5.128
8478.624000,B,90.371010,18.059
8478.680000,A,152.120480,5.419
8478.724000,B,90.416360,8.301
8478.819000,A,152.165680,7.152
8480.247000,A,153.778160,10.101
8480.304000,B,92.114250,10.976
8480.354000,A,153.824420,7.460
8480.408000,B,92.159410,8.232
8480.460000,B,92.204080,19.122
8480.511000,A,153.914640,6.894
8480.564000,B,92.249080,15.778
8480.612000,B,92.293884,8.146
8480.663000,B,92.338600,9.501
8480.712000,B,92.383390,7.992
8480.763000,A,154.145690,8.060
8481.783000,B,93.633610,13.446
8481.894000,B,93.678696,15.555
8481.944000,A,155.401460,4.528
8481.999000,B,93.723692,18.951
8482.056000,A,155.447450,3.670
8482.111000,B,93.768904,19.774
8482.167000,B,93.816480,16.207
8482.223000,B,93.861310,8.867
8482.276000,B,93.951020,6.260
8482.329000,B,93.995270,6.003
8482.380000,A,155.766580,6.586
8483.421000,A,156.977620,7.460
8483.478000,B,95.290800,19.980
8483.530000,A,157.023740,3.962
8483.638000,B,95.335870,3.138
8483.694000,A,157.068850,2.212
8483.751000,B,95.380264,3.619
8483.808000,A,157.114400,3.962
8483.858000,B,95.512800,3.327
8483.912000,B,95.601370,3.087
8483.968000,A,157.337020,2.212
8484.024000,A,157.426470,2.212
8484.082000,A,157.475180,4.253
8485.264000,B,97.071620,21.335
8485.314000,A,158.776100,5.419
8485.367000,A,158.821680,2.195
8485.427000,B,97.161768,15.709
8485.539000,A,158.867240,2.778
8485.598000,B,97.204640,9.793
8485.662000,A,158.955120,2.778
8485.725000,A,159.046560,5.711
8485.795000,B,97.430510,4.648
8485.849000,B,97.474980,4.339
8485.901000,B,97.563960,5.539
8485.957000,A,159.319460,8.078
8487.210000,B,99.038680,6.363
8487.274000,A,160.753940,6.003
8487.336000,B,99.083530,8.232
8487.395000,A,160.799980,3.379
8487.456000,B,99.127240,21.009
8487.564000,B,99.172560,7.803
8487.625000,B,99.217110,7.392
8487.684000,A,160.983440,4.562
8487.749000,B,99.350730,7.220
8487.811000,B,99.439710,6.963
8487.867000,A,161.213180,3.962
8487.928000,B,99.573630,6.671
8487.986000,A,161.349140,4.253
8489.565000,A,163.098830,7.460
8489.623000,B,101.424020,6.671
8489.685000,A,163.144730,4.528
8489.751000,B,101.469970,5.179
8489.812000,A,163.191520,2.144
8489.929000,B,101.514170,17.699
8489.993000,B,101.559300,6.140
8490.050000,B,101.648520,5.831
8490.112000,B,101.692960,6.740
8490.175000,A,163.510200,2.195
8490.237000,B,101.872376,5.642
8490.301000,A,163.645500,2.195
8490.364000,A,163.691060,2.795
8493.867000,A,167.414740,10.959
8493.930000,B,105.715512,5.951
8493.993000,A,167.503940,5.711
8494.056000,B,105.804690,4.699
8494.116000,A,167.593290,6.877
8494.228000,B,105.892000,5.008
8494.290000,A,167.639420,3.087
8494.353000,B,105.936460,4.630
8494.420000,A,167.684510,3.087
8494.487000,A,167.820620,2.504
8494.552000,A,167.865680,2.487
8494.620000,A,167.956068,2.487
8494.684000,A,168.001100,3.379
8494.749000,B,106.384416,9.827
8494.821000,A,168.134660,4.528
8496.939000,B,108.798390,21.112
8497.006000,A,170.508380,5.402
8497.079000,B,108.844060,6.003
8497.206000,A,170.554200,6.586
8497.274000,B,108.888308,4.459
8497.342000,A,170.599920,4.253
8497.410000,B,108.977310,4.991
8497.476000,B,109.110220,4.819
8497.541000,B,109.154400,4.768
8497.609000,A,170.921420,3.379
8497.678000,B,109.288980,4.236
8497.749000,A,171.058480,2.487
8497.812000,B,109.421990,6.860
8500.215000,A,173.750580,11.559
8500.285000,B,112.103030,9.415
8500.353000,A,173.840120,5.419
8500.471000,B,112.147930,7.220
8500.539000,A,173.886140,3.379
8500.616000,B,112.192240,3.636
8500.686000,B,112.236468,10.307
8500.760000,A,174.068740,5.711
8500.828000,B,112.414920,5.042
8500.936000,A,174.205540,3.379
8502.058000,B,113.889300,18.419
8502.107000,B,113.934456,6.448
8502.160000,A,175.645480,4.236
8502.208000,B,113.978770,5.539
8502.255000,A,175.691440,4.836
8502.302000,B,114.023170,4.339
8502.412000,A,175.737084,4.836
8502.467000,B,114.111870,4.459
8502.517000,B,114.158070,4.991
8502.566000,B,114.202250,4.545
8502.616000,B,114.290900,6.243
8504.007000,A,177.535380,5.419
8504.062000,B,115.855510,17.562
8504.112000,A,177.581220,3.379
8504.161000,B,115.901010,5.591
